Word,Frequency
tutimize,1
julai,1
swahili,1
kuabudu,1
wawili,1
mabaya,1
tumfurahishe,1
nilitangaze,1
nikusifu,1
zakukweza,1
navipenda,1
ninafanya,1
nitakutii,1
najiweka,1
tumwabudu,1
anawapenda,1
lituimarishe,1
lipenye,1
tuwazie,1
atufundishayo,1
huyo,1
twapaswa,1
yanayotuhangaisha,1
tuutayarishe,1
hupotosha,1
mdanganyifu,1
tulivyo,1
husoma,1
ipitayo,1
uradhi,1
waliopotea,1
maana,1
ufufuo,1
nitakuwa,1
amekufundisha,1
amekutoa,1
aliona,1
unayemwinamia,1
unamtii,1
tudumishe,1
kumbukumbu,1
libaki,1
tutakosa,1
tukifuatia,1
mashuhuri,1
kujifanyia,1
hutafuta,1
yampendezayo,1
kupendeza,1
tunatamani,1
atawatunza,1
hatasahau,1
uhusiano,1
alifanya,1
ufanikiwe,1
makusanyiko,1
niaba,1
kukuongoza,1
atakulinda,1
alikununua,1
ulijiweka,1
watamani,1
mmekuwa,1
atakapowajibu,1
latusisimua,1
tunamsifu,1
ushike,1
ametayarishwa,1
msamaha,1
alilipa,1
ametawazwa,1
atatetea,1
mteule,1
wanijua,1
anapotawala,1
awafufuapo,1
nilalapo,1
niamkapo,1
nderemo,1
lilikuwa,1
umechunguza,1
twakubali,1
sirini,1
nilipofanyizwa,1
utaanza,1
uliiona,1
unakusanywa,1
mifupa,1
yalikuwa,1
tuzifuate,1
yameandikwa,1
katuachia,1
hatamu,1
unavyoishi,1
yatatendeka,1
mfuateni,1
siogopi,1
kuwekwa,1
damu,1
alimwaga,1
twaithamini,1
sha,1
ituonye,1
kiti,1
nakufuata,1
tuwaambie,1
yatima,1
wanitegemeza,1
tunawapenda,1
wanipa,1
alisema,1
aliitimiza,1
aliwaponya,1
wagonjwa,1
katujali,1
kuja,1
ulimchochea,1
wategemeka,1
kuleta,1
watawale,1
atakayelitukuza,1
kawa,1
lilimwimarisha,1
tulifanya,1
vitisho,1
maamuzi,1
yanafaa,1
amemtawaza,1
kumwogopa,1
kwastahili,1
zapita,1
tuzitangaze,1
mshangilieni,1
tutamkanyaga,1
nyoka,1
simba,1
hatubabaiki,1
hatutajikwaa,1
tulitukuze,1
tunalitukuza,1
atatulinda,1
mbawa,1
halitatupata,1
dhara,1
kati,1
waanguka,1
maelfu,1
atatuokoa,1
mnara,1
twakabili,1
waziwazi,1
imwinamie,1
huongoza,1
vyake,1
ka,1
mwanadamu,1
inajua,1
pokea,1
twakukweza,1
zakupa,1
watuongoza,1
watufadhili,1
waturehemu,1
itaniongoza,1
wapi,1
uso,1
tukuhofu,1
siwezi,1
nyota,1
zinakutukuza,1
angani,1
tumwitapo,1
huitika,1
wamsifu,1
lisifuni,1
kumwimbia,1
zijazo,1
mwezi,1
watangaza,1
ameag,1
dhabihu,1
kafungua,1
sitaogopa,1
atakuwa,1
tunapolemewa,1
linawafungulia,1
wamsikie,1
awahimiza,1
tunatangazia,1
agizo,1
kunatuimarisha,1
tuwajulishe,1
waukubali,1
unajiunga,1
anatuba,1
twapiga,1
mnyonge,1
yaniongoza,1
wamiminika,1
pande,1
mingine,1
azama,1
atavitawala,1
namfuata,1
malangoni,1
ingia,1
anakuja,1
wamtii,1
anaujua,1
sitakosa,1
watufariji,1
aliowanunua,1
tusikusahau,1
ichochee,1
mliandaa,1
mlinifariji,1
tutalitangaza,1
yoyote,1
mlipotenda,1
haikuwa,1
hutufanya,1
mlinitunza,1
mlipowatunza,1
mwanifariji,1
mkiwafariji,1
atawa,1
yafanywayo,1
uz,1
wanatumikia,1
zatoka,1
twakutegemea,1
utume,1
wawakusanya,1
amewapa,1
wametoka,1
wateteao,1
teule,1
wanatangaza,1
wanaompenda,1
ndio,1
ukome,1
zitashinda,1
twathamini,1
zatuvuta,1
usiniache,1
tutaimba,1
nipotee,1
imetupa,1
nisije,1
kukuacha,1
tufuate,1
watuchochea,1
wakutukuza,1
twaheshimu,1
umetualika,1
tumekutana,1
nijapopita,1
kilivyoandaa,1
kumkumbuka,1
ilikugharimu,1
bondeni,1
vinatukumbusha,1
divai,1
akatoa,1
baadaye,1
kawalinda,1
pasaka,1
ulionyesha,1
zapendeza,1
umalizio,1
penye,1
utakaotawala,1
ameanza,1
mbie,1
wamwi,1
washangilie,1
sayuni,1
zafurahi,1
katupwa,1
wanashangilia,1
hunileta,1
hatuko,1
zazidi,1
ataondolewa,1
ananiburudisha,1
huniongoza,1
kumekuwa,1
umemtawaza,1
wamtumaini,1
saidieni,1
utangazeni,1
tukiutanguliza,1
ataturuzuku,1
mavazi,1
msihangaishwe,1
tafuta,1
unaniongoza,1
lanifariji,1
lafunua,1
fundisho,1
wanaowapokea,1
wanaougua,1
tumejitolea,1
latangaza,1
ambalo,1
made,1
yatawavutia,1
chumvi,1
atawawezesha,1
kusema,1
msihangaikie,1
litawachochea,1
wanampokea,1
utieni,1
changamoto,1
wakung,1
wasipowasikiliza,1
kustahili,1
kuwatakia,1
wasalimuni,1
wastahilio,1
mwingiapo,1
alituagiza,1
twamtegemea,1
tunasonga,1
tukatangaze,1
ongezeko,1
kuchoka,1
tuwakaribishe,1
latii,1
likiwa,1
waahidi,1
kuhofu,1
krugersdorp,1
tushinde,1
tunakutii,1
hatutawaogopa,1
wanaotudhihaki,1
kukushuhudia,1
yatosha,1
aseme,1
inapanuka,1
inayotuweka,1
twafundisha,1
ile,1
kulitukuza,1
mapenziye,1
tukajua,1
akatupa,1
ujuzi,1
hatukuwa,1
hapo,1
flm,1
liko,1
hatari,1
laonyesha,1
mwonapo,1
kuishinda,1
wanaotunyanyasa,1
ikuchochee,1
hataki,1
kuangamiza,1
atubariki,1
utayatekeleza,1
yale,1
ametangaza,1
uangaze,1
uwasaidie,1
kuwarudia,1
usikose,1
upendezwe,1
jamhuri,1
wasaidie,1
wapende,1
afrika,1
usihofu,1
wajapotutisha,1
tuhubiripo,1
tangazia,1
kusini,1
usimame,1
iweka,1
boresha,1
tuzidipo,1
tutachochewa,1
tukipenda,1
amemvika,1
dogo,1
wasio,1
dosari,1
nyi,1
yawategemea,1
mpatayo,1
mafanikio,1
timizeni,1
tieni,1
mioyoni,1
kukua,1
msikilizeni,1
kuwaongoza,1
mwito,1
tiini,1
kutakasa,1
tutautangaza,1
republic,1
tunayafanya,1
tunadharauliwa,1
tukisumbuliwa,1
wakaribia,1
limechapishwa,1
ametuamuru,1
hasa,1
kuitekeleza,1
wanatutegemeza,1
wazisikie,1
kututegemeza,1
wazidipo,1
kulitumaini,1
tukimwomba,1
walishinde,1
watii,1
tukawategemeza,1
uliwaimarisha,1
walipopata,1
waweze,1
uwatunze,1
wasimame,1
tuwafunzao,1
tunalithamini,1
twalipenda,1
atatusikia,1
hutuwezesha,1
npc,1
tufunze,1
tujifunze,1
tuyatafakari,1
tuchunguze,1
tuweke,1
stadi,1
walimu,1
tufundishao,1
tungependa,1
alivyofundisha,1
tunamwiga,1
tunazopata,1
tunanunua,1
ujitoaji,1
kimungu,1
kutegemea,1
wachague,1
nafasi,1
linawapatia,1
latuongoza,1
tunapotangaza,1
tufundishapo,1
liwape,1
aamuru,1
ru,1
twashuku,1
kujidhabihu,1
tumechoka,1
linatua,1
mwishoni,1
tumeyachagua,1
hatuchoki,1
wasiposikiliza,1
wanasikiliza,1
tabasamu,1
twaondoka,1
mazito,1
kunapambazuka,1
lachomoza,1
humtegemea,1
huleta,1
tuwafundishapo,1
tuwape,1
kututisha,1
umejua,1
atatoa,1
waziabudu,1
sanamu,1
anakawia,1
hawamwogopi,1
drive,1
nitakusifu,1
atamtetea,1
east,1
eti,1
wasema,1
hudhihaki,1
unachangamsha,1
wayoyoma,1
rahisi,1
lamkaribisha,1
lilitabiriwa,1
tunaimba,1
mmwinamie,1
falme,1
jifunzeni,1
rangeview,1
abuduni,1
yanahimiza,1
wamtukuza,1
tuwezeshe,1
onyo,1
broom,1
vya,1
nitawaonya,1
usingizini,1
latoweka,1
mapambazuko,1
kuwatafuta,1
alilotupa,1
bado,1
wanapoitikia,1
wanaposikiliza,1
dawamu,1
kikamili,1
kujitoa,1
kukuza,1
afanye,1
kutimiza,1
ujitahidipo,1
wanaopendezwa,1
kuwafundisha,1
robert,1
nitawafunza,1
wautafute,1
atawafariji,1
watafuta,1
maovu,1
mbona,1
wanaugua,1
anaelekeza,1
ameweka,1
kuyavuna,1
alibatizwa,1
yaanza,1
kungali,1
mapema,1
jw,1
bei,1
tunajikana,1
yatimie,1
alisali,1
yordani,1
alipotoka,1
alimwambia,1
atimize,1
kaonyesha,1
zifanye,1
aliumba,1
uliumbwa,1
org,1
kubeba,1
kumtangaza,1
et,1
ez,1
etxmaneno,1
twajikana,1
tumekuza,1
wanafunzi,1
ametuvuta,1
kuendelea,1
kulala,1
tutafanikiwa,1
matayarisho,1
nitalinda,1
atamfunga,1
katimua,1
hubirieni,1
mchango,1
msisite,1
tumeipata,1
usikengeuke,1
inatuongoza,1
tunaifuata,1
tembelea,1
donate,1
pita,1
kupotoka,1
usisite,1
alifundisha,1
uliyofundishwa,1
uliyoipata,1
aona,1
tukikumbuka,1
yeremia,1
hatushindwi,1
wamti,1
wanaongoza,1
mtazamo,1
nichukue,1
mikono,1
hiki,1
hayahesabiki,1
umfungulie,1
zidumu,1
zitakwisha,1
joyfully,1
kukutangaza,1
to,1
twaepuka,1
aliyeushinda,1
jehovah,1
kukujia,1
umetupa,1
nitatafakari,1
niyatafakari,1
miguu,1
yasemwayo,1
wowote,1
adili,1
nikutafakari,1
usingizi,1
nikosapo,1
ninapolemewa,1
nitembee,1
yakupendeze,1
etxlyrics,1
nitafakariyo,1
eum,1
umtegemee,1
mshukuru,1
atusamehe,1
tuungame,1
ikuimbie,1
ufurahi,1
uyapendayo,1
tukutumikie,1
anatulisha,1
hutangaza,1
mtumwako,1
hukufurahisha,1
tutafanya,1
twaweka,1
anatutegemeza,1
tutembeapo,1
asikiazo,1
tumpende,1
tunamkaribia,1
anatu,1
kutuogofya,1
uwezao,1
upinzani,1
hasira,1
tusizostahili,1
sing,1
out,1
ulemewapo,1
anatujua,1
mboni,1
jicho,1
wanawatisha,1
hautawatetemesha,1
mfal,1
twimbe,1
anapohukumu,1
afanyayo,1
elimu,1
mwimbie,1
litatambulishwa,1
litatakaswa,1
limechafuliwa,1
yadharauliwa,1
twadumisha,1
wajiepusha,1
wanakesha,1
wanawacheka,1
askari,1
tumhimidi,1
aliyoahidi,1
haya,1
wavumilia,1
akiwavamia,1
itatimia,1
wameazimia,1
ezekieli,1
waipate,1
haraka,1
wapatanishwe,1
me,1
vigelegele,1
jiunge,1
tarumbeta,1
ngano,1
mashamba,1
atawakaribisha,1
wakirudi,1
huonya,1
huondoa,1
kushuhudia,1
wawekwe,1
hakiuzwi,1
sehemu,1
hutimiza,1
yajayo,1
haioni,1
hawajui,1
iti,1
vilima,1
milima,1
vipige,1
vijito,1
mito,1
umwimbie,1
vilivyomo,1
navyo,1
zeze,1
kinubi,1
wakitii,1
inakaribia,1
kisasi,1
awapa,1
walivyo,1
wanavyoonekana,1
wapatikanapo,1
haidhuru,1
twatangazia,1
hali,1
sura,1
hatutazami,1
tutembee,1
mwelekezo,1
jangavu,1
zitatokeza,1
jitihada,1
ukishika,1
shika,1
umtumaini,1
nitawakweza,1
hawataweza,1
ungependa,1
wakiua,1
kitanitii,1
mfe,1
sitawasahau,1
nitatunza,1
kuwapotosha,1
alivyo,1
waache,1
mwaka,1
michango,1
anatumiminia,1
kuponya,1
tulitangaze,1
huwaimarisha,1
wadhaifu,1
huinua,1
husikiliza,1
hutujali,1
twashangilia,1
inayotegemezwa,1
astahilipo,1
kuwafunza,1
hatarini,1
mamilioni,1
kupoteza,1
utakao,1
tunazo,1
hakuchoka,1
nzima,1
aliwapenda,1
alipokuwa,1
kaweka,1
tit,1
tuwahubirie,1
kujulisha,1
vitakuwavipya,1
